# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 1200 0 0 3414 3392
p 2 0 107 1093 260 260
p 2 0 39 1161 219 219
p 2 0 0 1200 192 192
p 2 0 33 1167 213 213
p 2 0 1 1199 193 193
p 2 0 1 1199 193 193
p 2 0 0 1200 192 192
p 2 0 0 1200 192 192
p 2 0 0 1200 192 192
p 2 0 0 1200 192 192
p 2 0 0 1200 192 192
p 2 0 0 1200 192 192
p 2 0 0 1200 192 192
p 2 0 0 1200 192 192
p 2 0 0 1200 192 192
p 2 0 0 1200 192 192
p 2 0 0 1200 192 192
p 2 0 0 1200 192 192
p 2 0 0 1200 192 192
p 2 0 1 1199 193 193
p 2 0 1 1199 193 193
p 2 0 0 1200 192 192
p 2 0 0 1200 192 192
p 2 0 0 1200 192 192
p 2 0 1 1199 194 194
p 2 0 2 1198 200 194
p 2 0 2 1198 197 195
p 2 0 3 1197 206 195
p 2 0 79 1121 243 243
p 2 0 3 1197 205 196
p 2 0 7 1193 216 198
p 2 0 16 1184 233 207
p 2 0 262 938 407 366
p 2 0 162 1038 358 304
p 2 0 380 820 472 442
p 2 0 285 915 421 384
p 2 0 343 857 526 431
p 2 0 307 893 588 412
p 2 0 439 761 697 502
p 2 0 312 888 700 430
p 2 0 432 768 721 512
p 2 0 526 674 972 580
p 2 0 472 728 975 552
p 2 0 484 716 940 567
p 2 0 665 535 1390 703
p 2 0 760 440 1295 760
p 2 0 633 567 1135 678
p 2 0 667 533 1366 710
p 2 0 812 388 1694 827
p 2 0 734 466 1629 777
p 2 0 783 417 1790 820
p 2 0 844 356 2251 890
p 2 0 831 369 1864 876
p 2 0 807 393 2122 856
p 2 0 834 366 2121 881
p 2 0 778 422 2302 859
p 2 0 870 330 2660 940
p 2 0 808 392 2315 881
p 2 0 855 345 2490 918
p 2 0 805 395 2735 892
p 2 0 873 327 2485 931
p 2 0 846 354 3337 957
p 2 0 776 424 2936 874
p 2 0 850 350 2979 926
p 2 0 863 337 3532 961
p 2 0 863 337 3744 962
p 2 0 846 354 3911 989
p 2 0 878 322 3816 980
p 2 0 878 322 4641 1015
p 2 0 873 327 4197 994
p 2 0 868 332 4850 992
p 2 0 877 323 4676 988
p 2 0 880 320 5248 1013
p 2 0 884 316 5184 1009
p 2 0 878 322 5607 1001
p 2 0 832 368 6655 1016
p 2 0 907 293 6442 1061
p 2 0 840 360 5895 980
p 2 0 882 318 7401 1015
p 2 0 844 356 7542 1009
p 2 0 921 279 8838 1108
p 2 0 833 367 6959 1005
p 2 0 845 355 7857 997
p 2 0 875 325 8031 1041
p 2 0 885 315 8639 1069
p 2 0 884 316 7833 1040
p 2 0 866 334 8172 1015
p 2 0 876 324 7665 1043
p 2 0 906 294 9193 1066
p 2 0 874 326 8095 1048
p 2 0 869 331 9106 1058
p 2 0 870 330 8998 1068
p 2 0 896 304 10199 1086
p 2 0 879 321 8600 1052
p 2 0 836 364 8809 995
p 2 0 891 309 8759 1065
p 2 0 897 303 9011 1060
p 2 0 888 312 7785 1046
p 2 0 860 340 8539 1034
p 2 0 913 287 8047 1058
p 2 0 873 327 8552 1025
p 2 0 904 296 9048 1089
p 2 0 880 320 9827 1078
p 2 0 884 316 8062 1054
p 2 0 887 313 8889 1071
p 2 0 910 290 8491 1073
p 2 0 878 322 9118 1047
p 2 0 886 314 8042 1054
p 2 0 868 332 7702 1031
